STUDENTID,AGE,GENDER,HS_TYPE,SCHOLARSHIP,WORK,ACTIVITY,PARTNER,SALARY,TRANSPORT,LIVING,MOTHER_EDU,FATHER_EDU,#_SIBLINGS,KIDS,MOTHER_JOB,FATHER_JOB,STUDY_HRS,READ_FREQ,READ_FREQ_SCI,ATTEND_DEPT,IMPACT,ATTEND,PREP_STUDY,PREP_EXAM,NOTES,LISTENS,LIKES_DISCUSS,CLASSROOM,CUML_GPA,EXP_GPA,COURSE ID,GRADE
Student1,2,2,3,3,1,2,2,1,1,1,1,2,3,1,2,5,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1,1
Student2,2,2,3,3,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2,1,1,1,1,1,3,2,3,2,2,3,1,1
Student3,2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
Student4,1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,1
Student5,2,2,1,3,2,2,1,3,1,4,3,3,2,1,2,4,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1
Student6,2,2,2,3,2,2,2,2,1,1,3,3,2,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,4,4,1,2
Student7,1,2,2,4,2,2,2,1,1,3,1,3,1,1,2,4,2,2,2,2,1,2,1,1,3,3,3,3,4,4,1,5
Student8,1,1,2,3,1,1,1,2,2,3,4,3,1,1,4,3,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1,2
Student9,2,1,3,3,2,1,1,1,1,3,2,4,2,1,2,4,1,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5
Student10,2,1,2,3,2,2,1,3,4,2,1,2,3,1,2,3,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,0
Student11,1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2
Student12,1,1,1,4,1,1,2,4,2,3,5,5,1,1,3,2,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1,0
Student13,1,1,1,4,2,2,2,1,1,1,3,5,4,2,2,2,3,2,2,1,1,1,1,1,2,2,2,3,4,2,1,0
Student14,2,1,2,5,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1,1,1,2,1,1,3,2,3,3,4,2,1,1
Student15,3,2,2,4,1,1,2,3,4,2,3,1,2,1,4,1,2,2,2,1,1,1,1,1,2,3,2,1,4,4,1,2
Student16,2,2,2,3,2,2,2,1,1,2,4,4,2,1,3,1,2,2,2,2,3,2,1,1,3,2,2,3,2,2,1,2
Student17,1,1,2,5,2,1,2,1,1,1,2,2,4,1,2,3,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1,1
Student18,2,2,2,3,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2
Student19,1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1,2
Student20,1,2,1,3,2,2,1,2,2,2,3,3,3,1,2,4,4,2,2,1,2,1,1,1,3,2,2,3,2,3,1,3
Student21,1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2,2,1,1,1,2,3,1,2,3,4,4,1,1
Student22,1,2,2,5,2,2,1,1,4,2,2,2,4,1,2,3,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1,1
Student23,2,2,2,3,1,2,1,1,1,1,1,1,4,2,2,4,3,3,3,1,1,1,1,2,3,1,2,3,3,3,1,3
Student24,3,2,2,2,1,1,2,5,1,1,1,4,3,1,2,1,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1,1
Student25,2,2,2,3,2,2,2,2,1,1,3,1,3,1,2,4,1,2,2,1,1,1,1,1,2,1,3,2,4,4,1,2
Student26,2,2,2,3,2,2,1,1,1,2,1,4,3,1,2,4,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,3
Student27,2,2,2,3,2,1,1,1,1,1,4,4,4,1,2,4,2,3,2,1,1,1,1,1,3,3,3,2,2,1,1,1
Student28,1,2,1,3,1,2,2,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1,1
Student29,3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,3
